episode,total_reward,steps_survived,success_flag,epsilon
124,-28,161,0,0.9953673788215596
125,7,161,0,0.995330106342169
126,-18,161,0,0.9952928352584819
127,-13,161,0,0.995255565570446
128,-48,161,0,0.9952182972780091
129,-28,161,0,0.9951810303811189
130,-38,212,0,0.9951437648797231
131,19,274,0,0.9951065007737695
132,-30,300,0,0.9950692380632059
133,-33,161,0,0.9950319767479799
134,35,300,0,0.9949947168280394
135,-25,300,0,0.994957458303332
136,-25,251,0,0.9949202011738056
137,-33,161,0,0.9948829454394079
138,17,161,0,0.9948456911000867
139,-48,161,0,0.9948084381557897
140,-55,300,0,0.9947711866064646
141,-18,161,0,0.9947339364520592
142,-18,161,0,0.9946966876925214
143,7,161,0,0.9946594403277988
144,7,161,0,0.9946221943578394
145,7,161,0,0.9945849497825907
146,-18,161,0,0.9945477066020006
147,17,161,0,0.9945104648160169
148,45,300,0,0.9944732244245873
149,-3,161,0,0.9944359854276597
150,-18,161,0,0.9943987478251817
151,-18,161,0,0.9943615116171012
152,2,161,0,0.994324276803366
153,25,300,0,0.9942870433839238
154,-37,215,0,0.9942498113587225
155,-29,282,0,0.9942125807277098
156,22,161,0,0.9941753514908336
157,7,161,0,0.9941381236480415
158,-43,161,0,0.9941008971992815
159,-103,161,0,0.9940636721445013
160,-43,161,0,0.9940264484836487
161,-28,161,0,0.9939892262166716
162,-33,161,0,0.9939520053435178
163,55,300,0,0.993914785864135
164,-78,161,0,0.993877567778471
165,12,161,0,0.9938403510864737
166,-83,161,0,0.9938031357880909
167,-38,161,0,0.9937659218832703
168,-60,300,0,0.9937287093719598
169,-31,270,0,0.9936914982541073
170,-10,275,0,0.9936542885296605
171,-18,161,0,0.9936170801985673
172,45,300,0,0.9935798732607755
173,-23,161,0,0.9935426677162329
174,-18,161,0,0.9935054635648873
175,-18,161,0,0.9934682608066866
176,22,161,0,0.9934310594415786
177,12,161,0,0.9933938594695112
178,-20,175,0,0.9933566608904322
179,-13,161,0,0.9933194637042894
180,-6,248,0,0.9932822679110306
181,3,293,0,0.9932450735106036
